referrer,numparticipants,expgender,exprace,exprunafter,compensation,recruitment,separatedornot,age,sample,Sysjust,MoneyGroup,citizenship,gender,nativelang,sysjust1,sysjust2,sysjust3,sysjust4,sysjust5,sysjust6,sysjust7,sysjust8,moneypriorder
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,23,6,2.875,0,MY,1,other,2,2,4,5,3,2,4,1,5
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,3.375,0,MY,1,other,3,2,5,2,5,2,6,2,10
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,4,0,MY,1,english,5,2,3,5,3,7,4,3,2
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,3.375,0,MY,0,english,3,1,6,5,2,2,5,3,9
help,2,female,malay,runalone,coursecredit,unisubjpool,nobarriers,22,6,3.875,1,MY,1,malay,3,3,4,5,4,5,4,3,4
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,2.75,0,MY,1,other,2,1,1,5,2,2,3,6,9
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,3.75,0,MY,1,other,5,3,2,4,4,5,3,4,9
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,3.25,0,MY,1,english,3,2,3,2,4,5,4,3,3
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,3.625,0,MY,1,other,2,2,3,4,4,7,3,4,11
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,2.375,1,MY,1,english,3,1,6,2,2,1,2,2,5
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,20,6,2.25,1,MY,0,english,2,1,2,5,1,2,3,2,6
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,2,0,MY,1,english,3,1,1,2,3,1,2,3,1
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,23,6,2.333333333,1,MY,0,english,4,2,1,1,3,3,,,4
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,3.375,0,MY,1,other,4,1,1,5,2,6,3,5,3
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,2.875,0,MY,0,other,2,2,3,4,3,3,1,5,2
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,1.625,0,MY,1,other,2,1,1,3,1,1,2,2,11
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,23,6,2.5,0,MY,1,other,1,4,1,4,3,3,3,1,10
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,22,6,1.625,1,MY,,other,2,1,1,3,2,1,2,1,7
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,23,6,1.375,1,MY,1,other,1,1,1,2,2,1,1,2,11
help,2,female,chinese,runalone,coursecredit,unisubjpool,nobarriers,21,6,3.25,0,MY,0,other,3,2,3,5,4,3,3,3,11
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,20,6,3.5,1,MY,1,english,3,2,2,6,4,3,4,4,4
help,2,male,chinese,runalone,coursecredit,unisubjpool,nobarriers,23,6,2.25,1,MY,1,english,3,1,1,3,3,2,2,3,7
