lab,controlMean,constrolSD,moneyMean,MoneySD,diffMean,diffSE,dfperlab,tcrit
1,3.534090909,0.780561271,3.528125,1.023555698,-0.005965909,0.197560988,82,1.989318557
2,2.783079625,0.766879472,2.908898305,0.659737453,0.12581868,0.13078184,118,1.980272249
3,3.7125,0.854475398,3.599837662,0.678356302,-0.112662338,0.167602274,82,1.989318557
4,3.640625,1.018729845,3.874675325,0.996856423,0.234050325,0.209067257,93,1.985801814
5,3.663571429,0.825083452,3.673524845,0.931327283,0.009953416,0.179285099,94,1.985523442
6,3.041005291,0.64733977,2.871899802,0.785509888,-0.169105489,0.141957752,100,1.983971519
7,3.525,0.914897282,3.532142857,0.924216111,0.007142857,0.198604589,88,1.987289865
8,3.856707317,0.787420864,3.95943323,0.94418072,0.102725913,0.132714881,172,1.973852169
9,2.687012987,0.758026265,2.584975369,0.854870567,-0.102037618,0.152301102,111,1.981566757
10,4.545454545,0.794353495,4.432017544,0.826483439,-0.113437002,0.1532644,110,1.981765282
11,3.809683605,0.816946212,3.675502232,0.835485525,-0.134181373,0.099492484,275,1.968627871
12,3.517636684,0.901155605,3.452845982,0.995034273,-0.064790702,0.156850086,144,1.976575066
13,3.278301887,0.855778404,3.626984127,0.862665029,0.34868224,0.174113521,96,1.984984312
14,3.527439024,0.896831312,3.696428571,0.833536006,0.168989547,0.187678996,83,1.98895978
15,3.742653477,1.146769479,3.668353956,1.1454496,-0.074299521,0.072458583,998,1.962343846
16,4.033898305,0.851542246,4.12016369,0.957137042,0.086265385,0.175005713,105,1.982815274
17,3.21875,1.018342733,3.251322751,0.762592053,0.032572751,0.165422354,121,1.979763763
18,3.448791887,0.963658141,3.422262453,0.932378276,-0.026529434,0.051982656,1327,1.961753283
19,3.857843137,0.768935794,3.868506494,0.722133908,0.010663356,0.153834866,93,1.985801814
20,3.669334975,0.878157449,3.696022727,0.840645225,0.026687752,0.170435242,101,1.983731003
21,3.409722222,0.870965757,3.522959184,0.831772028,0.113236961,0.183701183,84,1.988609667
22,3.789705882,0.920826283,3.607142857,0.764044565,-0.182563025,0.13372282,160,1.97490156
23,3.283201058,0.794105592,3.448529412,0.794820858,0.165328354,0.180515186,77,1.991254395
24,3.299628942,0.970628953,3.189052795,0.886081639,-0.110576147,0.14295133,167,1.974270957
25,4.073924731,0.905005059,3.933700608,0.860367488,-0.140224123,0.129122294,185,1.972869946
26,3.600609756,0.788203809,3.366847826,0.981566978,-0.23376193,0.192394903,85,1.988267907
27,3.886588706,0.903840061,4.047353316,0.907909508,0.16076461,0.120783586,223,1.970658961
28,3.678125,0.904886795,3.870535714,0.916560368,0.192410714,0.203648166,78,1.990847069
29,4.045634921,0.875086858,3.913504464,0.893787603,-0.132130456,0.156989139,125,1.979124109
30,2.42578125,0.850671306,2.40224359,0.759049152,-0.02353766,0.133114883,142,1.976810994
31,3.753205128,0.721775486,3.994047619,0.887735017,0.240842491,0.180601801,79,1.99045021
32,3.673076923,0.811925599,3.625,0.849989025,-0.048076923,0.166769987,106,1.982597262
33,3.987244898,0.705375979,3.840425532,0.737533219,-0.146819366,0.147265004,94,1.985523442
34,3.702651515,0.897315749,3.863416988,0.917547662,0.160765473,0.18577715,101,1.983731003
35,3.792613636,0.94197312,4.024456522,0.986231451,0.231842885,0.203460358,88,1.987289865
36,3.791666667,1.024106371,3.625,0.740632996,-0.166666667,0.189437679,85,1.988267907
